id,label
20800,0
20801,1
20802,1
20803,1
20804,1
20805,1
20806,1
20807,1
20808,0
20809,1
20810,1
20811,1
20812,1
20813,0
20814,1
20815,0
20816,1
20817,1
20818,1
20819,1
20820,1
20821,1
20822,1
20823,1
20824,1
20825,1
20826,1
20827,0
20828,1
20829,1
20830,1
20831,1
20832,1
20833,1
20834,1
20835,0
20836,1
20837,1
20838,1
20839,0
20840,1
20841,1
20842,1
20843,0
20844,0
20845,1
20846,1
20847,1
20848,1
20849,1
20850,1
20851,1
20852,1
20853,1
20854,1
20855,1
20856,1
20857,0
20858,1
20859,0
20860,1
20861,1
20862,1
20863,0
20864,1
20865,1
20866,1
20867,1
20868,1
20869,1
20870,1
20871,1
20872,1
20873,0
20874,1
20875,1
20876,1
20877,0
20878,1
20879,0
20880,0
20881,1
20882,1
20883,0
20884,1
20885,1
20886,0
20887,0
20888,1
20889,0
20890,1
20891,0
20892,1
20893,1
20894,1
20895,1
20896,0
20897,1
20898,1
20899,1
20900,1
20901,0
20902,1
20903,1
20904,0
20905,1
20906,0
20907,1
20908,1
20909,1
20910,1
20911,0
20912,1
20913,0
20914,1
20915,1
20916,1
20917,1
20918,1
20919,1
20920,1
20921,1
20922,1
20923,0
20924,1
20925,1
20926,1
20927,1
20928,1
20929,1
20930,1
20931,0
20932,1
20933,1
20934,0
20935,1
20936,0
20937,1
20938,1
20939,1
20940,1
20941,1
20942,1
20943,1
20944,1
20945,1
20946,1
20947,1
20948,1
20949,0
20950,1
20951,1
20952,1
20953,1
20954,1
20955,1
20956,1
20957,1
20958,1
20959,1
20960,1
20961,1
20962,1
20963,1
20964,1
20965,1
20966,1
20967,1
20968,1
20969,0
20970,1
20971,0
20972,1
20973,1
20974,0
20975,1
20976,0
20977,0
20978,1
20979,1
20980,0
20981,1
20982,0
20983,1
20984,1
20985,1
20986,1
20987,1
20988,1
20989,1
20990,1
20991,1
20992,1
20993,1
20994,1
20995,1
20996,0
20997,1
20998,1
20999,0
21000,0
21001,1
21002,1
21003,1
21004,1
21005,0
21006,1
21007,1
21008,1
21009,1
21010,1
21011,1
21012,1
21013,0
21014,1
21015,1
21016,1
21017,1
21018,0
21019,1
21020,0
21021,1
21022,1
21023,1
21024,0
21025,1
21026,1
21027,1
21028,0
21029,1
21030,1
21031,0
21032,1
21033,1
21034,1
21035,1
21036,1
21037,0
21038,1
21039,1
21040,1
21041,1
21042,1
21043,1
21044,1
21045,1
21046,1
21047,0
21048,1
21049,1
21050,1
21051,1
21052,0
21053,0
21054,0
21055,1
21056,1
21057,1
21058,1
21059,1
21060,1
21061,1
21062,1
21063,1
21064,1
21065,1
21066,1
21067,1
21068,1
21069,1
21070,1
21071,1
21072,0
21073,1
21074,1
21075,1
21076,0
21077,0
21078,0
21079,1
21080,1
21081,1
21082,0
21083,1
21084,1
21085,1
21086,1
21087,1
21088,1
21089,1
21090,1
21091,1
21092,0
21093,1
21094,1
21095,0
21096,1
21097,1
21098,1
21099,0
21100,0
21101,1
21102,1
21103,0
21104,1
21105,0
21106,1
21107,1
21108,1
21109,1
21110,1
21111,1
21112,1
21113,1
21114,1
21115,1
21116,0
21117,1
21118,0
21119,1
21120,0
21121,1
21122,0
21123,1
21124,1
21125,1
21126,1
21127,1
21128,1
21129,1
21130,1
21131,0
21132,1
21133,1
21134,0
21135,1
21136,1
21137,1
21138,1
21139,1
21140,1
21141,1
21142,1
21143,0
21144,1
21145,1
21146,1
21147,1
21148,1
21149,1
21150,0
21151,1
21152,1
21153,1
21154,1
21155,1
21156,1
21157,1
21158,0
21159,1
21160,1
21161,1
21162,1
21163,1
21164,1
21165,0
21166,1
21167,1
21168,1
21169,1
21170,0
21171,1
21172,1
21173,1
21174,1
21175,1
21176,1
21177,1
21178,1
21179,1
21180,0
21181,0
21182,1
21183,1
21184,1
21185,1
21186,1
21187,1
21188,1
21189,0
21190,1
21191,1
21192,1
21193,1
21194,1
21195,1
21196,0
21197,0
21198,1
21199,1
21200,0
21201,1
21202,1
21203,1
21204,1
21205,0
21206,1
21207,1
21208,0
21209,1
21210,1
21211,1
21212,1
21213,1
21214,1
21215,0
21216,0
21217,0
21218,1
21219,0
21220,0
21221,0
21222,1
21223,0
21224,1
21225,1
21226,0
21227,1
21228,1
21229,1
21230,0
21231,1
21232,0
21233,1
21234,1
21235,0
21236,0
21237,1
21238,1
21239,1
21240,1
21241,0
21242,1
21243,1
21244,0
21245,1
21246,1
21247,1
21248,1
21249,1
21250,1
21251,1
21252,1
21253,1
21254,1
21255,1
21256,1
21257,1
21258,1
21259,1
21260,1
21261,1
21262,1
21263,1
21264,1
21265,0
21266,1
21267,1
21268,0
21269,1
21270,1
21271,0
21272,1
21273,1
21274,1
21275,0
21276,1
21277,1
21278,0
21279,1
21280,1
21281,1
21282,0
21283,1
21284,0
21285,1
21286,1
21287,0
21288,1
21289,1
21290,1
21291,1
21292,0
21293,1
21294,1
21295,0
21296,1
21297,1
21298,1
21299,1
21300,1
21301,1
21302,0
21303,0
21304,0
21305,1
21306,1
21307,1
21308,1
21309,1
21310,1
21311,1
21312,1
21313,1
21314,0
21315,1
21316,0
21317,0
21318,1
21319,1
21320,0
21321,1
21322,1
21323,1
21324,1
21325,1
21326,0
21327,1
21328,1
21329,1
21330,1
21331,1
21332,1
21333,1
21334,1
21335,1
21336,0
21337,1
21338,1
21339,1
21340,1
21341,1
21342,1
21343,0
21344,1
21345,1
21346,1
21347,1
21348,1
21349,0
21350,0
21351,1
21352,1
21353,1
21354,1
21355,1
21356,1
21357,1
21358,1
21359,1
21360,0
21361,1
21362,1
21363,1
21364,1
21365,1
21366,0
21367,1
21368,1
21369,1
21370,1
21371,0
21372,1
21373,1
21374,0
21375,0
21376,1
21377,1
21378,1
21379,0
21380,0
21381,1
21382,1
21383,1
21384,1
21385,1
21386,1
21387,1
21388,1
